frame_number,timestamp,keypoint_index,raw_x,raw_y,raw_z,raw_visibility,filtered_x,filtered_y,filtered_z,filtered_visibility,diff_x,diff_y,diff_z
1,0.033333,14,0.012387,0.437277,-0.177784,0.131444,0.049417,0.444852,-0.097286,0.131444,0.037030,0.007575,0.080499
1,0.033333,15,0.078857,0.468601,-0.104787,0.207455,0.066115,0.478619,-0.087149,0.207455,-0.012742,0.010018,0.017638
1,0.033333,16,0.028700,0.451236,-0.260602,0.077501,0.033891,0.453619,-0.126824,0.077501,0.005191,0.002383,0.133777
1,0.033333,17,0.083343,0.477198,-0.125997,0.292536,0.069147,0.486832,-0.097426,0.292536,-0.014196,0.009635,0.028571
1,0.033333,18,0.032641,0.459912,-0.293388,0.097595,0.033990,0.459598,-0.142313,0.097595,0.001348,-0.000314,0.151075
1,0.033333,19,0.080216,0.466164,-0.143783,0.318539,0.070537,0.479660,-0.106268,0.318539,-0.009679,0.013496,0.037514
1,0.033333,20,0.032622,0.452038,-0.291529,0.105214,0.030955,0.452073,-0.142725,0.105214,-0.001667,0.000035,0.148804
1,0.033333,21,0.081441,0.467374,-0.115389,0.255619,0.070684,0.478451,-0.092342,0.255619,-0.010757,0.011076,0.023047
1,0.033333,22,0.032243,0.449223,-0.261826,0.084932,0.031214,0.449861,-0.128406,0.084932,-0.001030,0.000638,0.133420
1,0.033333,23,0.054072,0.527768,0.048045,0.978930,0.032299,0.528144,0.027623,0.978930,-0.021773,0.000376,-0.020422
1,0.033333,24,0.048415,0.529561,-0.048123,0.974679,0.047662,0.535081,-0.027732,0.974679,-0.000753,0.005519,0.020391
1,0.033333,25,0.064044,0.620379,0.080469,0.514252,0.062298,0.620204,0.096403,0.514252,-0.001745,-0.000175,0.015935
1,0.033333,26,0.064071,0.623789,-0.050702,0.657703,0.062804,0.624537,-0.000269,0.657703,-0.001267,0.000747,0.050434
1,0.033333,27,0.069300,0.732424,0.141801,0.832165,0.069244,0.730685,0.146471,0.832165,-0.000056,-0.001740,0.004671
1,0.033333,28,0.066641,0.732296,0.033133,0.703023,0.064711,0.726835,0.067606,0.703023,-0.001929,-0.005461,0.034473
1,0.033333,29,0.064109,0.755070,0.143106,0.823505,0.064075,0.754131,0.148220,0.823505,-0.000033,-0.000940,0.005114
1,0.033333,30,0.059194,0.755904,0.038934,0.691699,0.058670,0.751775,0.073818,0.691699,-0.000524,-0.004129,0.034885
1,0.033333,31,0.086197,0.747246,0.080635,0.665925,0.081676,0.742388,0.110012,0.665925,-0.004522,-0.004858,0.029376
1,0.033333,32,0.064052,0.743291,-0.018444,0.487106,0.055749,0.736559,0.047036,0.487106,-0.008303,-0.006732,0.065480
2,0.066667,0,0.061514,0.325714,-0.123418,0.998093,0.056239,0.326364,-0.014960,0.998093,-0.005275,0.000650,0.108458
2,0.066667,1,0.060257,0.316783,-0.110566,0.995583,0.053570,0.317554,-0.018415,0.995583,-0.006687,0.000771,0.092151
2,0.066667,2,0.060051,0.316591,-0.110719,0.995938,0.052585,0.317412,-0.018545,0.995938,-0.007466,0.000821,0.092174
2,0.066667,3,0.059785,0.316546,-0.110670,0.996089,0.051434,0.317370,-0.018499,0.996089,-0.008351,0.000823,0.092171
2,0.066667,4,0.059928,0.317561,-0.123722,0.997076,0.055353,0.318516,-0.023380,0.997076,-0.004575,0.000955,0.100342
2,0.066667,5,0.059538,0.317748,-0.123897,0.998114,0.055668,0.318948,-0.023520,0.998114,-0.003870,0.001200,0.100377
2,0.066667,6,0.059200,0.317946,-0.124019,0.998083,0.055923,0.319367,-0.023592,0.998083,-0.003277,0.001421,0.100428
2,0.066667,7,0.055533,0.321835,-0.040703,0.997812,0.048185,0.322210,-0.020561,0.997812,-0.007348,0.000375,0.020142
2,0.066667,8,0.057497,0.322765,-0.099617,0.997100,0.056411,0.325281,-0.041583,0.997100,-0.001086,0.002516,0.058034
2,0.066667,9,0.060687,0.335421,-0.094835,0.995995,0.054404,0.336277,-0.010914,0.995995,-0.006283,0.000856,0.083921
2,0.066667,10,0.060748,0.335429,-0.112955,0.996592,0.056001,0.335912,-0.018278,0.996592,-0.004746,0.000483,0.094677
2,0.066667,11,0.073834,0.374489,0.033976,0.998849,0.049046,0.369819,0.012002,0.998849,-0.024788,-0.004670,-0.021974
2,0.066667,12,0.033611,0.376495,-0.106909,0.997299,0.063868,0.380807,-0.065361,0.997299,0.030257,0.004312,0.041548
2,0.066667,13,0.070438,0.440626,0.017488,0.270276,0.056038,0.444819,-0.011768,0.270276,-0.014400,0.004194,-0.029255
2,0.066667,14,0.009970,0.437777,-0.171180,0.200367,0.042474,0.443623,-0.110504,0.200367,0.032504,0.005847,0.060676
2,0.066667,15,0.078378,0.466412,-0.110203,0.208037,0.068250,0.476495,-0.091176,0.208037,-0.010128,0.010083,0.019027
2,0.066667,16,0.027738,0.449649,-0.248078,0.126085,0.032823,0.452930,-0.148963,0.126085,0.005085,0.003281,0.099115
2,0.066667,17,0.081280,0.475408,-0.132519,0.299272,0.071260,0.484845,-0.103586,0.299272,-0.010020,0.009437,0.028933
2,0.066667,18,0.032700,0.460125,-0.280271,0.144920,0.033766,0.459689,-0.167674,0.144920,0.001066,-0.000436,0.112597
2,0.066667,19,0.080386,0.465864,-0.148544,0.327648,0.072250,0.477257,-0.113714,0.327648,-0.008136,0.011393,0.034830
2,0.066667,20,0.035135,0.451881,-0.277983,0.154247,0.031680,0.452040,-0.167564,0.154247,-0.003455,0.000158,0.110418
2,0.066667,21,0.079918,0.463676,-0.120267,0.265636,0.072290,0.475878,-0.097230,0.265636,-0.007628,0.012202,0.023037
2,0.066667,22,0.033682,0.448307,-0.248875,0.122310,0.031642,0.449592,-0.150397,0.122310,-0.002041,0.001285,0.098478
2,0.066667,23,0.062133,0.528305,0.048608,0.979787,0.037522,0.528171,0.031289,0.979787,-0.024611,-0.000133,-0.017319
2,0.066667,24,0.053600,0.529688,-0.048671,0.976098,0.048692,0.534145,-0.031391,0.976098,-0.004908,0.004457,0.017281
2,0.066667,25,0.066115,0.623754,0.082073,0.526699,0.062960,0.620819,0.093906,0.526699,-0.003155,-0.002935,0.011833
2,0.066667,26,0.065682,0.623943,-0.049883,0.679908,0.063303,0.624434,-0.009044,0.679908,-0.002379,0.000491,0.040839
2,0.066667,27,0.069126,0.733053,0.177922,0.832175,0.069224,0.731095,0.151949,0.832175,0.000098,-0.001958,-0.025973
2,0.066667,28,0.044425,0.711714,0.042965,0.717422,0.061185,0.724211,0.063285,0.717422,0.016760,0.012498,0.020319
